Timestamp,Day,LoadNo,CoilID1,CoilID2,CoilID3,CoilID4,CoilID5,CoilID6,CoilID7,CoilID8,CoilID9,CoilID10,CoilID11,SubmissionID
9/10/2025 8:15:34,Thursday,Load #1,082589.017946C04,082589.017946C06,082589.817949C43,082589.617950C20,082589.817949C32,082589.817949C36,082589.817949C38,082588.017947C11,082589.817949C45,082588.017947C05,082588.017947C03,814d54ac
9/10/2025 8:39:15,Thursday,Load #2,082587.017948C78,082587.017948C75,082587.017948C73,082587.017948C49,082588.017947C17,082587.017948C58,082587.017948C60,082588.017947C74,082589.817949C51,082589.817949C56,082588.017947C72,8967534f
9/10/2025 8:42:57,Thursday,Load #3,082589.817949C55,082588.017947C70,082588.017947C07,082588.017947C09,082589.817949C52,082587.017948C61,082588.017947C01,082588.017947C78,082589.817949C46,082588.017947C76,082589.817949C60,305949da
9/10/2025 8:46:54,Thursday,Load #4,082588.017947C02,082588.017947C16,082589.617950C18,082589.817949C47,082587.017948C63,082589.817949C39,082587.017948C66,082589.817949C37,082587.017948C51,082587.017948C69,082588.017947C15,249dc0fa
9/12/2025 9:01:02,Monday,Load #1,082787.018048C22,082787.018048C20,082787.018048C43,082799.018052C30,082787.018048C21,082787.018048C19,082589.817949C50,082589.817949C31,082589.817949C54,,082587.017948C64,e48e9574
9/12/2025 9:09:14,Monday,Load #2,082787.018048C25,082787.018048C15,082787.018048C41,082799.018052C03,082787.018048C34,082799.018052C09,082799.018052C10,082788.018049C75,082788.018049C61,082787.018048C57,082787.018048C59,217567f3
9/12/2025 11:11:58,Monday,Load #3,082782.018045C25,082787.018048C38,082787.018048C31,082788.018049C49,082788.018049C55,082782.018045C17,082782.018045C15,082782.018045C46,082782.018045C22,082782.018045C48,082782.018045C44,68c192bc
9/12/2025 11:18:11,Monday,Load #4,082787.018048C29,082787.018048C23,082787.018048C39,082799.018052C47,082799.018052C22,082787.018048C28,082782.018045C23,082782.018045C01,082782.018045C29,082782.018045C04,082782.018045C07,d659523d
9/15/2025 13:33:53,Tuesday,Load #1,082799.018052C24,082788.018049C72,082788.018049C66,082788.018049C62,082788.018049C64,082799.018052C40,082799.018052C15,082799.018052C44,082799.018052C12,082782.018045C58,082799.018052C38,b31e32e9
9/15/2025 14:09:20,Wednesday,Load #1,082597.017923C14,082597.017923C15,082597.017923C69,082597.017923C70,082597.017923C25,082597.017923C07,082597.017923C66,082597.017923C23,082598.017921D20,082597.017923C67,082597.017923C17,84f45586
9/15/2025 14:14:29,Tuesday,Load #1,082799.018052C37,082799.018052C17,082799.018052C04,082787.018048C45,082782.018045C61,082788.018049C78,082788.018049C76,082799.018052C07,082799.018052C01,082787.018048C02,082787.018048C04,60d25a70
9/16/2025 7:43:23,Tuesday,Load #3,082799.018052C16,082799.018052C23,082799.018052C25,082799.018052C42,082799.018052C41,082788.018049C68,082787.018048C60,082787.018048C54,082787.018048C49,082787.018048C50,082787.018048C56,5cf5c037
9/16/2025 8:09:30,Tuesday,Load #4,082788.018049C82,082799.018052C20,082788.018049C80,082799.018052C18,082799.018052C32,082799.018052C39,082799.018052C46,082799.018052C35,082787.018048C58,082799.018052C14,082788.018049C04,32c75dc6
9/16/2025 13:40:30,Wednesday,Load #2,082789.018038C41,082789.018038C16,082789.018038C15,082789.018038C20,082789.018038C34,082798.018050C17,082789.018038C17,082797.018036C16,082797.018036C14,082789.018038C36,082789.018038C13,ed09d1de
9/16/2025 13:47:45,Wednesday,Load #3,082797.018036C02,082797.018036C20,082797.018036C10,082797.018036C07,082797.018036C08,082797.018036C04,082797.018036C11,082797.018036C09,082797.018036C05,082797.018036C12,082797.018036C06,f09502a1
9/16/2025 13:55:05,Wednesday,Load #4,082597.017923C80,082797.018036C01,082598.017921D09,082797.018036C03,082798.018050C20,082798.018050C14,082797.018036C15,082597.017923C75,082597.017923C65,082597.017923C72,082598.017921D22,bf37ff5b
9/15/2025 13:36:13,Thursday,Load #1,082789.018038C37,082798.018050C04,082798.018050C26,082789.018038C39,082798.018050C01,082789.018038C25,082789.018038C14,082789.018038C27,082798.018050C05,082789.018038C21,082789.018038C22,f306ddd5
9/17/2025 11:21:04,Thursday,Load #2,082797.018036C19,082797.018036C13,082798.018050C15,082798.018050C16,082798.018050C18,082789.018038C19,082789.018038C24,082789.018038C29,082797.018036C26,082797.018036C28,082789.018038C26,654ad971
9/18/2025 8:26:08,Thursday,Load #3,082789.018038C44,082789.018038C43,082789.018038C42,082798.018050C03,082798.018050C07,082798.018050C06,082798.018050C28,082798.018050C30,082789.018038C23,082789.018038C31,082789.018038C35,1d6716b2
9/18/2025 8:55:37,Thursday,Load #4,082798.018050C55,082798.018050C56,082798.018050C48,082789.018038C02,082798.018050C52,082798.018050C47,082798.018050C31,082798.018050C33,082798.018050C43,082798.018050C19,082798.018050C13,bd4c890d
9/22/2025 13:59:51,Tuesday,Load #2,082797.018036C25,082798.018050C71,082797.018036C24,082798.018050C70,082798.018050C62,082797.018036C18,082797.018036C47,082798.018050C51,082789.018038C03,082797.018036C35,082798.018050C23,c5be4ed3
